,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2450,Share to Family Expenditure,100,100.0,100,,
2451,Food and Non-Alcoholic Beverages,47.2,43.11,39.64,-4.1,-3.46
2452,    Food Consumed at Home,41.67,41.4,36.72,-0.27,-4.67
2453,    Food Regularly Consumed Outside the Home,5.54,1.71,2.92,-3.83,1.21
2454,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2455,Alcoholic Beverages and Tobacco,2.46,1.94,1.47,-0.52,-0.46
2456,Clothing and Footwear,3.07,1.94,2.55,-1.13,0.61
2457,"Housing, Water, Electricity, Gas and Other Fuels",19.12,20.46,19.56,1.34,-0.9
2458,Furnishings and Routine Household Maintenance,2.38,2.06,2.56,-0.32,0.5
2459,Health,2.31,2.91,3.35,0.6,0.43
2460,Transport,6.1,6.35,8.04,0.25,1.69
2461,Information and Communication,1.51,2.88,2.71,1.36,-0.16
2462,"Recreation, Sport and Culture",0.55,0.51,0.76,-0.05,0.26
2463,Education,2.76,1.64,4.17,-1.13,2.53
2464,Hotels (Accommodation Services),0.14,0.03,0.06,-0.11,0.03
2465,Insurance and Financial Services,0,3.61,3.09,3.61,-0.53
2466,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.36,5.47,4.11,-0.9,-1.36
2467,Durable Furniture and Equipment,2.1,2.33,2.72,0.23,0.39
2468,Special Family Occasion,2.86,3.17,3.16,0.31,-0.01
2469,Other Expenditures,1.06,1.61,2.05,0.55,0.44
2470,,,,,,
2471,City of Davao,,,,,
2472,Share to Family Expenditure,100,100.0,100,,
2473,Food and Non-Alcoholic Beverages,42.66,35.83,34.02,-6.83,-1.81
2474,    Food Consumed at Home,32.49,33.69,31.68,1.21,-2.01
2475,    Food Regularly Consumed Outside the Home,10.17,2.13,2.33,-8.04,0.2
2476,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2477,Alcoholic Beverages and Tobacco,1.89,1.17,1.34,-0.72,0.16
2478,Clothing and Footwear,2.42,1.39,1.83,-1.04,0.45
2479,"Housing, Water, Electricity, Gas and Other Fuels",21.83,30.87,27.83,9.05,-3.04
2480,Furnishings and Routine Household Maintenance,1.71,1.35,2.46,-0.35,1.1
2481,Health,2.24,2.94,2.55,0.7,-0.39
2482,Transport,6.89,5.89,7.87,-1,1.98
2483,Information and Communication,2.06,3.74,3.34,1.68,-0.4
2484,"Recreation, Sport and Culture",0.68,0.27,0.72,-0.41,0.45
2485,Education,2.73,2.33,4.08,-0.41,1.75
2486,Hotels (Accommodation Services),0.06,0.0,0.13,-0.06,0.12
2487,Insurance and Financial Services,0,3.9,3.08,3.9,-0.82
2488,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.38,4.32,3.57,-2.05,-0.75
2489,Durable Furniture and Equipment,4.07,2.53,3.72,-1.54,1.19
2490,Special Family Occasion,2.92,1.99,2.14,-0.93,0.16
2491,Other Expenditures,1.48,1.48,1.33,0,-0.15
2492,,,,,,
2493,Davao Oriental,,,,,
2494,Share to Family Expenditure,100,100.0,100,,
2495,Food and Non-Alcoholic Beverages,50.67,49.73,46.03,-0.94,-3.7
2496,    Food Consumed at Home,46.55,48.64,44.05,2.09,-4.59
2497,    Food Regularly Consumed Outside the Home,4.12,1.09,1.97,-3.04,0.89
2498,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2499,Alcoholic Beverages and Tobacco,2.19,2.3,1.33,0.11,-0.97
2500,Clothing and Footwear,2.66,1.74,2.15,-0.92,0.41
2501,"Housing, Water, Electricity, Gas and Other Fuels",14.88,14.13,16.41,-0.76,2.29
2502,Furnishings and Routine Household Maintenance,2.38,1.82,2.84,-0.56,1.02
2503,Health,1.69,3.39,2.45,1.7,-0.94
2504,Transport,5.41,6.46,6.33,1.06,-0.13
2505,Information and Communication,1.06,2.93,2.86,1.87,-0.07
2506,"Recreation, Sport and Culture",0.82,0.44,1.2,-0.38,0.76
2507,Education,1.42,0.7,3.52,-0.73,2.82
2508,Hotels (Accommodation Services),0.08,0.03,0.14,-0.05,0.11
2509,Insurance and Financial Services,0,3.02,2.18,3.02,-0.84
2510,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.93,4.21,4.15,-1.72,-0.06
2511,Durable Furniture and Equipment,3.64,1.66,2.57,-1.98,0.91
2512,Special Family Occasion,5.09,5.9,4.59,0.81,-1.31
2513,Other Expenditures,2.08,1.55,1.26,-0.53,-0.29
2514,,,,,,
2515,Davao De Oro,,,,,
2516,Share to Family Expenditure,100,100.0,100,,
2517,Food and Non-Alcoholic Beverages,49.39,49.55,45.59,0.16,-3.96
2518,    Food Consumed at Home,45.49,48.09,42.41,2.59,-5.68
2519,    Food Regularly Consumed Outside the Home,3.9,1.46,3.16,-2.44,1.7
2520,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
2521,Alcoholic Beverages and Tobacco,1.59,1.93,1.07,0.34,-0.86
2522,Clothing and Footwear,2.88,2.2,2.37,-0.67,0.17
2523,"Housing, Water, Electricity, Gas and Other Fuels",17.08,16.93,18.61,-0.15,1.67
2524,Furnishings and Routine Household Maintenance,2.4,1.9,2.42,-0.5,0.52
2525,Health,2.19,2.49,2.42,0.3,-0.07
2526,Transport,6.27,6.76,7.24,0.49,0.48
2527,Information and Communication,1.18,2.57,2.33,1.39,-0.24
2528,"Recreation, Sport and Culture",0.58,0.36,0.56,-0.22,0.2
2529,Education,2.65,1.4,3.32,-1.25,1.92
2530,Hotels (Accommodation Services),0.08,0.21,0.2,0.12,-0.01
2531,Insurance and Financial Services,0,2.3,2.79,2.3,0.49
2532,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.44,4.56,4.11,-1.88,-0.46
2533,Durable Furniture and Equipment,2.97,2.65,2.58,-0.32,-0.06
2534,Special Family Occasion,3.23,3.2,2.86,-0.03,-0.34
2535,Other Expenditures,1.06,0.97,1.52,-0.09,0.55
2536,,,,,,
2537,Davao Occidental,,,,,
2538,Share to Family Expenditure,100,100.0,100,,
2539,Food and Non-Alcoholic Beverages,52.22,51.09,49.95,-1.13,-1.14
2540,    Food Consumed at Home,48.79,50.33,48.18,1.54,-2.15
2541,    Food Regularly Consumed Outside the Home,3.42,0.75,1.78,-2.67,1.02
2542,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2543,Alcoholic Beverages and Tobacco,2.19,2.21,1.82,0.02,-0.39
2544,Clothing and Footwear,3.58,2.35,3.02,-1.23,0.68
2545,"Housing, Water, Electricity, Gas and Other Fuels",14.74,17.41,17.49,2.67,0.08
2546,Furnishings and Routine Household Maintenance,2.37,2.46,2.98,0.1,0.52
2547,Health,1.81,2.48,2.3,0.67,-0.18
2548,Transport,4.34,5.1,5.48,0.76,0.38
2549,Information and Communication,0.71,1.8,1.81,1.09,0.01
2550,"Recreation, Sport and Culture",0.61,0.35,0.81,-0.26,0.45
2551,Education,2.29,0.7,2.67,-1.59,1.97
2552,Hotels (Accommodation Services),0.04,0.01,0.09,-0.03,0.08
2553,Insurance and Financial Services,0,1.62,1.77,1.62,0.14
2554,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.87,5.06,4.37,-0.81,-0.69
2555,Durable Furniture and Equipment,3.8,3.05,1.57,-0.75,-1.48
2556,Special Family Occasion,3.67,2.91,2.48,-0.76,-0.43
2557,Other Expenditures,1.77,1.41,1.39,-0.37,-0.02
2558,,,,,,
2559,REGION XII - SOCCSKSARGEN,,,,,
2560,Share to Family Expenditure,100,100.0,100,,
2561,Food and Non-Alcoholic Beverages,47.12,44.52,43.16,-2.61,-1.35
2562,    Food Consumed at Home,40.77,42.7,38.68,1.93,-4.02
2563,    Food Regularly Consumed Outside the Home,6.35,1.81,4.47,-4.55,2.66
2564,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2565,Alcoholic Beverages and Tobacco,2.29,2.17,1.56,-0.12,-0.61
2566,Clothing and Footwear,3.13,2.43,2.52,-0.7,0.09
2567,"Housing, Water, Electricity, Gas and Other Fuels",15.66,18.01,17.82,2.35,-0.19
2568,Furnishings and Routine Household Maintenance,2.12,1.76,2.5,-0.36,0.74
2569,Health,3.29,3.25,3.36,-0.04,0.11
2570,Transport,6.64,7.07,7.43,0.43,0.36
2571,Information and Communication,1.48,2.89,2.8,1.41,-0.1
2572,"Recreation, Sport and Culture",0.73,0.5,0.9,-0.23,0.4
2573,Education,2.55,1.73,3.25,-0.82,1.52
2574,Hotels (Accommodation Services),0.14,0.05,0.11,-0.09,0.06
2575,Insurance and Financial Services,0,3.31,2.51,3.31,-0.8
2576,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.09,4.72,3.87,-1.37,-0.85
2577,Durable Furniture and Equipment,3.7,2.97,2.4,-0.72,-0.58
2578,Special Family Occasion,3.38,2.94,3.22,-0.44,0.27
2579,Other Expenditures,1.68,1.68,2.59,0,0.91
2580,,,,,,
2581,Cotabato (North Cotabato),,,,,
2582,Share to Family Expenditure,100,100.0,100,,
2583,Food and Non-Alcoholic Beverages,49.17,45.91,43.34,-3.26,-2.56
2584,    Food Consumed at Home,44.05,44.41,39.76,0.35,-4.64
2585,    Food Regularly Consumed Outside the Home,5.11,1.48,3.57,-3.64,2.09
2586,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.03,0.01,0.03,-0.01
2587,Alcoholic Beverages and Tobacco,2.16,1.85,1.45,-0.32,-0.4
2588,Clothing and Footwear,3.12,2.46,2.8,-0.67,0.34
2589,"Housing, Water, Electricity, Gas and Other Fuels",16.08,16.92,17.25,0.84,0.33
2590,Furnishings and Routine Household Maintenance,2.3,1.8,2.57,-0.51,0.77
2591,Health,3.5,2.89,3.15,-0.6,0.26
2592,Transport,6.12,7.35,6.95,1.22,-0.4
2593,Information and Communication,1.22,2.73,2.47,1.51,-0.26
2594,"Recreation, Sport and Culture",0.66,0.63,1.11,-0.03,0.48
2595,Education,2.12,1.69,3.3,-0.43,1.61
2596,Hotels (Accommodation Services),0.15,0.07,0.06,-0.08,-0.01
2597,Insurance and Financial Services,0,3.06,2.15,3.06,-0.91
2598,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.19,4.7,3.74,-0.49,-0.96
2599,Durable Furniture and Equipment,3.59,3.79,3.14,0.2,-0.65
2600,Special Family Occasion,3.4,2.84,3.42,-0.56,0.58
2601,Other Expenditures,1.21,1.32,3.1,0.12,1.78
2602,,,,,,
2603,South Cotabato (Excluding  City of General Santos),,,,,
2604,Share to Family Expenditure,100,100.0,100,,
2605,Food and Non-Alcoholic Beverages,44.72,42.39,41.83,-2.33,-0.56
2606,    Food Consumed at Home,37.52,40.07,36.84,2.55,-3.23
2607,    Food Regularly Consumed Outside the Home,7.19,2.31,4.99,-4.88,2.67
2608,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2609,Alcoholic Beverages and Tobacco,2.38,2.34,1.72,-0.04,-0.61
2610,Clothing and Footwear,3.11,1.85,2.28,-1.27,0.44
2611,"Housing, Water, Electricity, Gas and Other Fuels",14.52,17.07,17.43,2.55,0.35
2612,Furnishings and Routine Household Maintenance,2.07,1.95,2.62,-0.12,0.66
2613,Health,4.14,4.22,3.67,0.08,-0.55
2614,Transport,6.71,7.26,7.83,0.55,0.57
2615,Information and Communication,1.5,2.96,3.18,1.46,0.22
2616,"Recreation, Sport and Culture",0.84,0.59,0.78,-0.26,0.2
2617,Education,2.77,1.86,3.43,-0.91,1.58
2618,Hotels (Accommodation Services),0.17,0.05,0.07,-0.12,0.02
2619,Insurance and Financial Services,0,3.81,2.61,3.81,-1.2
2620,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.56,4.57,3.73,-1.99,-0.84
2621,Durable Furniture and Equipment,4.51,3.28,1.94,-1.23,-1.34
2622,Special Family Occasion,3.64,3.52,3.58,-0.12,0.07
2623,Other Expenditures,2.35,2.29,3.28,-0.07,0.99
2624,,,,,,
2625,City of General Santos (Dadiangas),,,,,
2626,Share to Family Expenditure,100,100.0,100,,
2627,Food and Non-Alcoholic Beverages,41.95,39.02,39.56,-2.93,0.53
2628,    Food Consumed at Home,34.08,36.73,34.3,2.65,-2.42
2629,    Food Regularly Consumed Outside the Home,7.87,2.29,5.25,-5.58,2.96
2630,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2631,Alcoholic Beverages and Tobacco,1.77,1.99,1.17,0.22,-0.81
2632,Clothing and Footwear,3.09,1.62,2.11,-1.47,0.48
2633,"Housing, Water, Electricity, Gas and Other Fuels",17.97,24.2,21.33,6.24,-2.87
2634,Furnishings and Routine Household Maintenance,1.92,1.6,2.57,-0.32,0.97
2635,Health,3.38,3.65,3.67,0.27,0.02
2636,Transport,8.4,7.42,9,-0.98,1.58
2637,Information and Communication,2.12,3.69,3.35,1.57,-0.34
2638,"Recreation, Sport and Culture",0.67,0.37,0.94,-0.3,0.57
2639,Education,2.96,2.22,2.9,-0.74,0.68
2640,Hotels (Accommodation Services),0.04,0.02,0.03,-0.02,0.01
2641,Insurance and Financial Services,0,3.93,3.15,3.93,-0.78
2642,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.99,4.31,3.88,-2.68,-0.43
2643,Durable Furniture and Equipment,3.16,1.63,2.1,-1.54,0.47
2644,Special Family Occasion,3.61,2.0,2.58,-1.61,0.58
2645,Other Expenditures,1.96,2.32,1.66,0.35,-0.66
2646,,,,,,
2647,Sultan Kudarat,,,,,
2648,Share to Family Expenditure,100,100.0,100,,
2649,Food and Non-Alcoholic Beverages,50.76,47.95,44.74,-2.82,-3.21
2650,    Food Consumed at Home,44.56,46.73,40.1,2.17,-6.62
2651,    Food Regularly Consumed Outside the Home,6.21,1.2,4.58,-5.01,3.39
2652,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.05,0.02,0.03
2653,Alcoholic Beverages and Tobacco,2.66,2.16,1.7,-0.5,-0.47
2654,Clothing and Footwear,3.36,4.37,2.53,1.02,-1.84
2655,"Housing, Water, Electricity, Gas and Other Fuels",14.85,16.49,16.65,1.64,0.17
2656,Furnishings and Routine Household Maintenance,1.99,1.64,2.23,-0.35,0.6
2657,Health,2.27,2.54,3.95,0.27,1.41
2658,Transport,5.93,5.86,6.72,-0.06,0.86
2659,Information and Communication,1.48,2.63,2.71,1.16,0.08
2660,"Recreation, Sport and Culture",0.79,0.36,0.72,-0.43,0.36
2661,Education,2.81,1.52,3.66,-1.29,2.13
2662,Hotels (Accommodation Services),0.18,0.04,0.28,-0.14,0.23
2663,Insurance and Financial Services,0,2.37,2.68,2.37,0.31
2664,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.9,4.99,3.98,-0.91,-1.01
2665,Durable Furniture and Equipment,3.37,3.06,2.37,-0.32,-0.69
2666,Special Family Occasion,2.66,3.13,2.94,0.47,-0.19
2667,Other Expenditures,1,0.89,2.13,-0.11,1.24
2668,,,,,,
2669,Sarangani,,,,,
2670,Share to Family Expenditure,100,100.0,100,,
2671,Food and Non-Alcoholic Beverages,50.93,49.43,49.5,-1.5,0.07
2672,    Food Consumed at Home,45.41,47.7,44.96,2.29,-2.74
2673,    Food Regularly Consumed Outside the Home,5.52,1.72,4.54,-3.8,2.82
2674,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
2675,Alcoholic Beverages and Tobacco,2.93,3.17,1.98,0.24,-1.18
2676,Clothing and Footwear,2.93,2.21,2.93,-0.72,0.72
2677,"Housing, Water, Electricity, Gas and Other Fuels",13.98,15.68,16.09,1.69,0.41
2678,Furnishings and Routine Household Maintenance,2.28,1.6,2.3,-0.67,0.7
2679,Health,1.81,2.38,1.88,0.58,-0.51
2680,Transport,5.88,6.96,6.34,1.08,-0.62
2681,Information and Communication,1.04,2.31,2.11,1.27,-0.2
2682,"Recreation, Sport and Culture",0.68,0.31,0.7,-0.37,0.39
2683,Education,2.15,1.01,2.68,-1.14,1.68
2684,Hotels (Accommodation Services),0.1,0.0,0.22,-0.1,0.22
2685,Insurance and Financial Services,0,3.22,2.04,3.22,-1.19
2686,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.36,5.44,4.4,-0.92,-1.04
2687,Durable Furniture and Equipment,3.49,1.69,1.68,-1.8,0
2688,Special Family Occasion,3.39,3.13,3.29,-0.25,0.16
2689,Other Expenditures,2.06,1.46,1.85,-0.61,0.4
2690,,,,,,
2691,CARAGA,,,,,
2692,Share to Family Expenditure,100,100.0,100,,
2693,Food and Non-Alcoholic Beverages,44.96,43.86,45.25,-1.1,1.39
2694,    Food Consumed at Home,40.35,41.91,42.52,1.56,0.62
2695,    Food Regularly Consumed Outside the Home,4.61,1.95,2.72,-2.67,0.77
2696,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2697,Alcoholic Beverages and Tobacco,1.59,1.3,1.36,-0.28,0.06
2698,Clothing and Footwear,3.05,1.89,1.9,-1.15,0.01
2699,"Housing, Water, Electricity, Gas and Other Fuels",16.46,18.9,18.25,2.45,-0.66
2700,Furnishings and Routine Household Maintenance,2.22,2.2,2.54,-0.02,0.34
2701,Health,2.59,3.19,2.67,0.6,-0.52
2702,Transport,5.9,6.27,6.38,0.37,0.11
2703,Information and Communication,1.39,2.88,2.64,1.49,-0.24
2704,"Recreation, Sport and Culture",0.83,0.38,0.78,-0.46,0.4
2705,Education,2.76,1.35,4.27,-1.41,2.92
2706,Hotels (Accommodation Services),0.26,0.04,0.07,-0.22,0.03
2707,Insurance and Financial Services,0,3.31,2.59,3.31,-0.72
2708,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.33,4.45,3.54,-1.88,-0.91
2709,Durable Furniture and Equipment,5.15,4.03,1.95,-1.12,-2.08
2710,Special Family Occasion,4.38,3.43,3.86,-0.95,0.43
2711,Other Expenditures,2.15,2.51,1.97,0.36,-0.54
2712,,,,,,
2713,Agusan Del Norte (Excluding City of Butuan),,,,,
2714,Share to Family Expenditure,100,100.0,100,,
2715,Food and Non-Alcoholic Beverages,47.95,44.63,44.57,-3.32,-0.06
2716,    Food Consumed at Home,42.08,41.93,41.08,-0.15,-0.85
2717,    Food Regularly Consumed Outside the Home,5.87,2.7,3.49,-3.18,0.79
2718,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2719,Alcoholic Beverages and Tobacco,1.51,1.5,1.55,-0.01,0.06
2720,Clothing and Footwear,2.34,1.82,2.04,-0.52,0.21
2721,"Housing, Water, Electricity, Gas and Other Fuels",16.24,16.99,17.24,0.75,0.25
2722,Furnishings and Routine Household Maintenance,2.12,2.01,2.65,-0.11,0.64
2723,Health,2.65,3.41,3.1,0.76,-0.31
2724,Transport,6.45,6.55,6.95,0.1,0.4
2725,Information and Communication,1.42,3.11,2.89,1.69,-0.23
2726,"Recreation, Sport and Culture",0.63,0.47,0.97,-0.16,0.5
2727,Education,2.43,1.77,4.53,-0.65,2.76
2728,Hotels (Accommodation Services),0.09,0.04,0.12,-0.05,0.08
2729,Insurance and Financial Services,0,2.45,2.35,2.45,-0.1
2730,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.94,4.22,3.59,-1.73,-0.62
2731,Durable Furniture and Equipment,4.24,5.18,2.15,0.94,-3.03
2732,Special Family Occasion,4.19,4.03,3.57,-0.17,-0.45
2733,Other Expenditures,1.78,1.83,1.71,0.04,-0.11
2734,,,,,,
2735,City of Butuan ,,,,,
2736,Share to Family Expenditure,100,100.0,100,,
2737,Food and Non-Alcoholic Beverages,43.42,39.21,37.77,-4.22,-1.44
2738,    Food Consumed at Home,37.16,36.4,34.12,-0.76,-2.29
2739,    Food Regularly Consumed Outside the Home,6.26,2.8,3.65,-3.46,0.85
2740,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2741,Alcoholic Beverages and Tobacco,1.63,1.19,1.26,-0.44,0.06
2742,Clothing and Footwear,2.88,1.92,2.17,-0.96,0.25
2743,"Housing, Water, Electricity, Gas and Other Fuels",17.4,20.17,21.1,2.77,0.94
2744,Furnishings and Routine Household Maintenance,2.46,2.31,2.58,-0.14,0.27
2745,Health,2.81,4.02,3.13,1.21,-0.89
2746,Transport,7.03,7.33,8.3,0.29,0.98
2747,Information and Communication,2.14,3.17,3.26,1.03,0.1
2748,"Recreation, Sport and Culture",0.69,0.42,0.85,-0.27,0.43
2749,Education,3.53,2.06,5.33,-1.47,3.27
2750,Hotels (Accommodation Services),0.18,0.03,0.08,-0.15,0.05
2751,Insurance and Financial Services,0,4.44,3.83,4.44,-0.61
2752,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.52,3.93,3.2,-2.58,-0.74
2753,Durable Furniture and Equipment,3.88,3.8,2.04,-0.08,-1.76
2754,Special Family Occasion,3.29,2.53,3.08,-0.76,0.55
2755,Other Expenditures,2.13,3.46,1.99,1.33,-1.47
2756,,,,,,
2757,Agusan Del Sur,,,,,
2758,Share to Family Expenditure,100,100.0,100,,
2759,Food and Non-Alcoholic Beverages,44.18,46.75,48.89,2.57,2.14
2760,    Food Consumed at Home,39.37,44.65,45.28,5.28,0.63
2761,    Food Regularly Consumed Outside the Home,4.81,2.09,3.59,-2.72,1.5
2762,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.01
2763,Alcoholic Beverages and Tobacco,1.62,1.46,1.38,-0.16,-0.08
2764,Clothing and Footwear,3.8,2.4,1.99,-1.41,-0.41
2765,"Housing, Water, Electricity, Gas and Other Fuels",14.86,14.69,14.15,-0.17,-0.54
2766,Furnishings and Routine Household Maintenance,2.41,2.0,2.54,-0.4,0.54
2767,Health,2.63,3.29,2.26,0.66,-1.03
2768,Transport,5.56,6.19,6.01,0.63,-0.18
2769,Information and Communication,1.07,2.46,2.03,1.38,-0.42
2770,"Recreation, Sport and Culture",0.94,0.47,0.82,-0.47,0.35
2771,Education,2.9,0.9,4.22,-2,3.33
2772,Hotels (Accommodation Services),0.36,0.04,0.07,-0.32,0.03
2773,Insurance and Financial Services,0,3.42,2.01,3.42,-1.41
2774,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.91,4.7,3.54,-2.21,-1.16
2775,Durable Furniture and Equipment,4.82,4.7,2.89,-0.12,-1.8
2776,Special Family Occasion,4.49,3.86,4.64,-0.63,0.78
2777,Other Expenditures,3.44,2.68,2.56,-0.76,-0.12
2778,,,,,,
2779,Surigao Del Norte,,,,,
2780,Share to Family Expenditure,100,100.0,100,,
2781,Food and Non-Alcoholic Beverages,46.71,44.42,44.42,-2.28,-0.01
2782,    Food Consumed at Home,43.17,42.55,43.15,-0.62,0.6
2783,    Food Regularly Consumed Outside the Home,3.54,1.86,1.26,-1.68,-0.6
2784,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
2785,Alcoholic Beverages and Tobacco,1.56,1.08,1.58,-0.49,0.51
2786,Clothing and Footwear,2.66,1.36,1.84,-1.3,0.48
2787,"Housing, Water, Electricity, Gas and Other Fuels",18.92,25.53,21.17,6.61,-4.36
2788,Furnishings and Routine Household Maintenance,1.84,2.13,2.66,0.29,0.53
2789,Health,2.14,2.97,2.9,0.84,-0.08
2790,Transport,5.13,6.0,5.85,0.87,-0.15
2791,Information and Communication,1.38,3.11,2.82,1.73,-0.29
2792,"Recreation, Sport and Culture",0.79,0.22,0.7,-0.57,0.48
2793,Education,2.22,1.0,4.55,-1.22,3.55
2794,Hotels (Accommodation Services),0.22,0.06,0.01,-0.16,-0.05
2795,Insurance and Financial Services,0,2.7,2.47,2.7,-0.23
2796,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.54,4.27,3.41,-1.27,-0.87
2797,Durable Furniture and Equipment,5.01,1.56,1.22,-3.45,-0.34
2798,Special Family Occasion,4.56,2.12,3.07,-2.44,0.96
2799,Other Expenditures,1.33,1.48,1.34,0.15,-0.14
2800,,,,,,
2801,Surigao Del Sur,,,,,
2802,Share to Family Expenditure,100,100.0,100,,
2803,Food and Non-Alcoholic Beverages,43.53,42.91,48.54,-0.63,5.64
2804,    Food Consumed at Home,39.76,41.96,46.43,2.2,4.48
2805,    Food Regularly Consumed Outside the Home,3.77,0.95,2.11,-2.82,1.16
2806,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
2807,Alcoholic Beverages and Tobacco,1.62,1.28,1.1,-0.34,-0.18
2808,Clothing and Footwear,2.99,1.74,1.49,-1.24,-0.25
2809,"Housing, Water, Electricity, Gas and Other Fuels",15.66,18.49,18.35,2.83,-0.14
2810,Furnishings and Routine Household Maintenance,2.23,2.54,2.27,0.31,-0.27
2811,Health,2.69,2.01,2.31,-0.68,0.3
2812,Transport,6.05,5.85,5.48,-0.2,-0.37
2813,Information and Communication,1.22,2.9,2.62,1.69,-0.29
2814,"Recreation, Sport and Culture",0.97,0.26,0.6,-0.7,0.34
2815,Education,2.52,1.35,3.09,-1.17,1.74
2816,Hotels (Accommodation Services),0.3,0.03,0.09,-0.27,0.06
2817,Insurance and Financial Services,0,3.35,2.51,3.35,-0.84
2818,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.54,4.74,3.89,-1.8,-0.84
2819,Durable Furniture and Equipment,7.13,5.24,1.21,-1.89,-4.03
2820,Special Family Occasion,4.84,4.29,4.42,-0.56,0.13
2821,Other Expenditures,1.72,3.02,2.02,1.3,-1
2822,,,,,,
2823,Dinagat Islands,,,,,
2824,Share to Family Expenditure,100,100.0,100,,
2825,Food and Non-Alcoholic Beverages,45.94,45.3,45.21,-0.64,-0.09
2826,    Food Consumed at Home,43.02,44.87,44.66,1.85,-0.21
2827,    Food Regularly Consumed Outside the Home,2.92,0.41,0.55,-2.51,0.14
2828,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.03,0,0.03,-0.03
2829,Alcoholic Beverages and Tobacco,1.37,1.38,1.39,0,0.01
2830,Clothing and Footwear,3.43,2.12,2.16,-1.31,0.04
2831,"Housing, Water, Electricity, Gas and Other Fuels",14.52,17.34,19.6,2.82,2.26
2832,Furnishings and Routine Household Maintenance,2.21,2.12,2.76,-0.09,0.64
2833,Health,3.04,5.72,2.46,2.69,-3.26
2834,Transport,4.85,4.64,5.3,-0.21,0.66
2835,Information and Communication,1.13,2.39,1.91,1.26,-0.48
2836,"Recreation, Sport and Culture",0.86,0.72,0.9,-0.14,0.18
2837,Education,3.81,1.57,3.64,-2.24,2.07
2838,Hotels (Accommodation Services),0.37,0.03,0.05,-0.34,0.02
2839,Insurance and Financial Services,0,3.25,2.29,3.25,-0.96
2840,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.05,5.14,3.62,-0.91,-1.52
2841,Durable Furniture and Equipment,5.11,2.06,2.45,-3.05,0.39
2842,Special Family Occasion,5.37,4.43,4.47,-0.94,0.04
2843,Other Expenditures,1.93,1.79,1.79,-0.14,0
2844,,,,,,
2845,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023),,,,,
2846,Share to Family Expenditure,100,100.0,100,,
2847,Food and Non-Alcoholic Beverages,59.86,58.59,57.52,-1.27,-1.07
2848,    Food Consumed at Home,54.04,54.6,54.34,0.56,-0.26
2849,    Food Regularly Consumed Outside the Home,5.82,3.98,3.17,-1.84,-0.81
2850,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
