region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Special Family Occasion,3.38,2.94,3.22,-0.44,0.27
Other Expenditures,1.68,1.68,2.59,0.0,0.91
Cotabato (north Cotabato),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.17,45.91,43.34,-3.26,-2.56
Food Consumed At Home,44.05,44.41,39.76,0.35,-4.64
Food Regularly Consumed Outside The Home,5.11,1.48,3.57,-3.64,2.09
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.03,0.01,0.03,-0.01
Alcoholic Beverages And Tobacco,2.16,1.85,1.45,-0.32,-0.4
Clothing And Footwear,3.12,2.46,2.8,-0.67,0.34
"Housing, Water, Electricity, Gas And Other Fuels",16.08,16.92,17.25,0.84,0.33
Furnishings And Routine Household Maintenance,2.3,1.8,2.57,-0.51,0.77
Health,3.5,2.89,3.15,-0.6,0.26
Transport,6.12,7.35,6.95,1.22,-0.4
Information And Communication,1.22,2.73,2.47,1.51,-0.26
"Recreation, Sport And Culture",0.66,0.63,1.11,-0.03,0.48
Education,2.12,1.69,3.3,-0.43,1.61
Hotels (accommodation Services),0.15,0.07,0.06,-0.08,-0.01
Insurance And Financial Services,0.0,3.06,2.15,3.06,-0.91
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.19,4.7,3.74,-0.49,-0.96
Durable Furniture And Equipment,3.59,3.79,3.14,0.2,-0.65
Special Family Occasion,3.4,2.84,3.42,-0.56,0.58
Other Expenditures,1.21,1.32,3.1,0.12,1.78
South Cotabato (excluding City Of General Santos),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.72,42.39,41.83,-2.33,-0.56
Food Consumed At Home,37.52,40.07,36.84,2.55,-3.23
Food Regularly Consumed Outside The Home,7.19,2.31,4.99,-4.88,2.67
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.38,2.34,1.72,-0.04,-0.61
Clothing And Footwear,3.11,1.85,2.28,-1.27,0.44
"Housing, Water, Electricity, Gas And Other Fuels",14.52,17.07,17.43,2.55,0.35
Furnishings And Routine Household Maintenance,2.07,1.95,2.62,-0.12,0.66
Health,4.14,4.22,3.67,0.08,-0.55
Transport,6.71,7.26,7.83,0.55,0.57
Information And Communication,1.5,2.96,3.18,1.46,0.22
"Recreation, Sport And Culture",0.84,0.59,0.78,-0.26,0.2
Education,2.77,1.86,3.43,-0.91,1.58
Hotels (accommodation Services),0.17,0.05,0.07,-0.12,0.02
Insurance And Financial Services,0.0,3.81,2.61,3.81,-1.2
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.56,4.57,3.73,-1.99,-0.84
Durable Furniture And Equipment,4.51,3.28,1.94,-1.23,-1.34
Special Family Occasion,3.64,3.52,3.58,-0.12,0.07
Other Expenditures,2.35,2.29,3.28,-0.07,0.99
City Of General Santos (dadiangas),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.95,39.02,39.56,-2.93,0.53
Food Consumed At Home,34.08,36.73,34.3,2.65,-2.42
Food Regularly Consumed Outside The Home,7.87,2.29,5.25,-5.58,2.96
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.77,1.99,1.17,0.22,-0.81
Clothing And Footwear,3.09,1.62,2.11,-1.47,0.48
"Housing, Water, Electricity, Gas And Other Fuels",17.97,24.2,21.33,6.24,-2.87
Furnishings And Routine Household Maintenance,1.92,1.6,2.57,-0.32,0.97
Health,3.38,3.65,3.67,0.27,0.02
Transport,8.4,7.42,9.0,-0.98,1.58
Information And Communication,2.12,3.69,3.35,1.57,-0.34
"Recreation, Sport And Culture",0.67,0.37,0.94,-0.3,0.57
Education,2.96,2.22,2.9,-0.74,0.68
Hotels (accommodation Services),0.04,0.02,0.03,-0.02,0.01
Insurance And Financial Services,0.0,3.93,3.15,3.93,-0.78
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.99,4.31,3.88,-2.68,-0.43
Durable Furniture And Equipment,3.16,1.63,2.1,-1.54,0.47
Special Family Occasion,3.61,2.0,2.58,-1.61,0.58
Other Expenditures,1.96,2.32,1.66,0.35,-0.66
Sultan Kudarat,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,50.76,47.95,44.74,-2.82,-3.21
Food Consumed At Home,44.56,46.73,40.1,2.17,-6.62
Food Regularly Consumed Outside The Home,6.21,1.2,4.58,-5.01,3.39
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.05,0.02,0.03
Alcoholic Beverages And Tobacco,2.66,2.16,1.7,-0.5,-0.47
Clothing And Footwear,3.36,4.37,2.53,1.02,-1.84
"Housing, Water, Electricity, Gas And Other Fuels",14.85,16.49,16.65,1.64,0.17
Furnishings And Routine Household Maintenance,1.99,1.64,2.23,-0.35,0.6
Health,2.27,2.54,3.95,0.27,1.41
Transport,5.93,5.86,6.72,-0.06,0.86
Information And Communication,1.48,2.63,2.71,1.16,0.08
"Recreation, Sport And Culture",0.79,0.36,0.72,-0.43,0.36
Education,2.81,1.52,3.66,-1.29,2.13
Hotels (accommodation Services),0.18,0.04,0.28,-0.14,0.23
Insurance And Financial Services,0.0,2.37,2.68,2.37,0.31
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.9,4.99,3.98,-0.91,-1.01
Durable Furniture And Equipment,3.37,3.06,2.37,-0.32,-0.69
Special Family Occasion,2.66,3.13,2.94,0.47,-0.19
Other Expenditures,1.0,0.89,2.13,-0.11,1.24
Sarangani,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,50.93,49.43,49.5,-1.5,0.07
Food Consumed At Home,45.41,47.7,44.96,2.29,-2.74
Food Regularly Consumed Outside The Home,5.52,1.72,4.54,-3.8,2.82
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,2.93,3.17,1.98,0.24,-1.18
Clothing And Footwear,2.93,2.21,2.93,-0.72,0.72
"Housing, Water, Electricity, Gas And Other Fuels",13.98,15.68,16.09,1.69,0.41
Furnishings And Routine Household Maintenance,2.28,1.6,2.3,-0.67,0.7
Health,1.81,2.38,1.88,0.58,-0.51
Transport,5.88,6.96,6.34,1.08,-0.62
Information And Communication,1.04,2.31,2.11,1.27,-0.2
"Recreation, Sport And Culture",0.68,0.31,0.7,-0.37,0.39
Education,2.15,1.01,2.68,-1.14,1.68
Hotels (accommodation Services),0.1,0.0,0.22,-0.1,0.22
Insurance And Financial Services,0.0,3.22,2.04,3.22,-1.19
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.36,5.44,4.4,-0.92,-1.04
Durable Furniture And Equipment,3.49,1.69,1.68,-1.8,0.0
Special Family Occasion,3.39,3.13,3.29,-0.25,0.16
Other Expenditures,2.06,1.46,1.85,-0.61,0.4
Caraga,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.96,43.86,45.25,-1.1,1.39
Food Consumed At Home,40.35,41.91,42.52,1.56,0.62
Food Regularly Consumed Outside The Home,4.61,1.95,2.72,-2.67,0.77
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.59,1.3,1.36,-0.28,0.06
Clothing And Footwear,3.05,1.89,1.9,-1.15,0.01
"Housing, Water, Electricity, Gas And Other Fuels",16.46,18.9,18.25,2.45,-0.66
Furnishings And Routine Household Maintenance,2.22,2.2,2.54,-0.02,0.34
Health,2.59,3.19,2.67,0.6,-0.52
Transport,5.9,6.27,6.38,0.37,0.11
Information And Communication,1.39,2.88,2.64,1.49,-0.24
"Recreation, Sport And Culture",0.83,0.38,0.78,-0.46,0.4
Education,2.76,1.35,4.27,-1.41,2.92
Hotels (accommodation Services),0.26,0.04,0.07,-0.22,0.03
Insurance And Financial Services,0.0,3.31,2.59,3.31,-0.72
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.33,4.45,3.54,-1.88,-0.91
Durable Furniture And Equipment,5.15,4.03,1.95,-1.12,-2.08
Special Family Occasion,4.38,3.43,3.86,-0.95,0.43
Other Expenditures,2.15,2.51,1.97,0.36,-0.54
Agusan Del Norte (excluding City Of Butuan),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.95,44.63,44.57,-3.32,-0.06
Food Consumed At Home,42.08,41.93,41.08,-0.15,-0.85
Food Regularly Consumed Outside The Home,5.87,2.7,3.49,-3.18,0.79
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.51,1.5,1.55,-0.01,0.06
Clothing And Footwear,2.34,1.82,2.04,-0.52,0.21
"Housing, Water, Electricity, Gas And Other Fuels",16.24,16.99,17.24,0.75,0.25
Furnishings And Routine Household Maintenance,2.12,2.01,2.65,-0.11,0.64
Health,2.65,3.41,3.1,0.76,-0.31
Transport,6.45,6.55,6.95,0.1,0.4
Information And Communication,1.42,3.11,2.89,1.69,-0.23
"Recreation, Sport And Culture",0.63,0.47,0.97,-0.16,0.5
Education,2.43,1.77,4.53,-0.65,2.76
Hotels (accommodation Services),0.09,0.04,0.12,-0.05,0.08
Insurance And Financial Services,0.0,2.45,2.35,2.45,-0.1
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.94,4.22,3.59,-1.73,-0.62
Durable Furniture And Equipment,4.24,5.18,2.15,0.94,-3.03
Special Family Occasion,4.19,4.03,3.57,-0.17,-0.45
Other Expenditures,1.78,1.83,1.71,0.04,-0.11
City Of Butuan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.42,39.21,37.77,-4.22,-1.44
Food Consumed At Home,37.16,36.4,34.12,-0.76,-2.29
Food Regularly Consumed Outside The Home,6.26,2.8,3.65,-3.46,0.85
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.63,1.19,1.26,-0.44,0.06
Clothing And Footwear,2.88,1.92,2.17,-0.96,0.25
"Housing, Water, Electricity, Gas And Other Fuels",17.4,20.17,21.1,2.77,0.94
Furnishings And Routine Household Maintenance,2.46,2.31,2.58,-0.14,0.27
Health,2.81,4.02,3.13,1.21,-0.89
Transport,7.03,7.33,8.3,0.29,0.98
Information And Communication,2.14,3.17,3.26,1.03,0.1
"Recreation, Sport And Culture",0.69,0.42,0.85,-0.27,0.43
Education,3.53,2.06,5.33,-1.47,3.27
Hotels (accommodation Services),0.18,0.03,0.08,-0.15,0.05
Insurance And Financial Services,0.0,4.44,3.83,4.44,-0.61
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.52,3.93,3.2,-2.58,-0.74
Durable Furniture And Equipment,3.88,3.8,2.04,-0.08,-1.76
Special Family Occasion,3.29,2.53,3.08,-0.76,0.55
Other Expenditures,2.13,3.46,1.99,1.33,-1.47
Agusan Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.18,46.75,48.89,2.57,2.14
Food Consumed At Home,39.37,44.65,45.28,5.28,0.63
Food Regularly Consumed Outside The Home,4.81,2.09,3.59,-2.72,1.5
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.62,1.46,1.38,-0.16,-0.08
Clothing And Footwear,3.8,2.4,1.99,-1.41,-0.41
"Housing, Water, Electricity, Gas And Other Fuels",14.86,14.69,14.15,-0.17,-0.54
Furnishings And Routine Household Maintenance,2.41,2.0,2.54,-0.4,0.54
Health,2.63,3.29,2.26,0.66,-1.03
Transport,5.56,6.19,6.01,0.63,-0.18
Information And Communication,1.07,2.46,2.03,1.38,-0.42
"Recreation, Sport And Culture",0.94,0.47,0.82,-0.47,0.35
Education,2.9,0.9,4.22,-2.0,3.33
Hotels (accommodation Services),0.36,0.04,0.07,-0.32,0.03
Insurance And Financial Services,0.0,3.42,2.01,3.42,-1.41
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.91,4.7,3.54,-2.21,-1.16
Durable Furniture And Equipment,4.82,4.7,2.89,-0.12,-1.8
Special Family Occasion,4.49,3.86,4.64,-0.63,0.78
Other Expenditures,3.44,2.68,2.56,-0.76,-0.12
Surigao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.71,44.42,44.42,-2.28,-0.01
Food Consumed At Home,43.17,42.55,43.15,-0.62,0.6
Food Regularly Consumed Outside The Home,3.54,1.86,1.26,-1.68,-0.6
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.56,1.08,1.58,-0.49,0.51
Clothing And Footwear,2.66,1.36,1.84,-1.3,0.48
"Housing, Water, Electricity, Gas And Other Fuels",18.92,25.53,21.17,6.61,-4.36
Furnishings And Routine Household Maintenance,1.84,2.13,2.66,0.29,0.53
Health,2.14,2.97,2.9,0.84,-0.08
Transport,5.13,6.0,5.85,0.87,-0.15
Information And Communication,1.38,3.11,2.82,1.73,-0.29
"Recreation, Sport And Culture",0.79,0.22,0.7,-0.57,0.48
Education,2.22,1.0,4.55,-1.22,3.55
Hotels (accommodation Services),0.22,0.06,0.01,-0.16,-0.05
Insurance And Financial Services,0.0,2.7,2.47,2.7,-0.23
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.54,4.27,3.41,-1.27,-0.87
Durable Furniture And Equipment,5.01,1.56,1.22,-3.45,-0.34
Special Family Occasion,4.56,2.12,3.07,-2.44,0.96
Other Expenditures,1.33,1.48,1.34,0.15,-0.14
Surigao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.53,42.91,48.54,-0.63,5.64
Food Consumed At Home,39.76,41.96,46.43,2.2,4.48
Food Regularly Consumed Outside The Home,3.77,0.95,2.11,-2.82,1.16
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.62,1.28,1.1,-0.34,-0.18
Clothing And Footwear,2.99,1.74,1.49,-1.24,-0.25
"Housing, Water, Electricity, Gas And Other Fuels",15.66,18.49,18.35,2.83,-0.14
Furnishings And Routine Household Maintenance,2.23,2.54,2.27,0.31,-0.27
Health,2.69,2.01,2.31,-0.68,0.3
Transport,6.05,5.85,5.48,-0.2,-0.37
Information And Communication,1.22,2.9,2.62,1.69,-0.29
"Recreation, Sport And Culture",0.97,0.26,0.6,-0.7,0.34
Education,2.52,1.35,3.09,-1.17,1.74
Hotels (accommodation Services),0.3,0.03,0.09,-0.27,0.06
Insurance And Financial Services,0.0,3.35,2.51,3.35,-0.84
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.54,4.74,3.89,-1.8,-0.84
Durable Furniture And Equipment,7.13,5.24,1.21,-1.89,-4.03
Special Family Occasion,4.84,4.29,4.42,-0.56,0.13
Other Expenditures,1.72,3.02,2.02,1.3,-1.0
Dinagat Islands,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.94,45.3,45.21,-0.64,-0.09
Food Consumed At Home,43.02,44.87,44.66,1.85,-0.21
Food Regularly Consumed Outside The Home,2.92,0.41,0.55,-2.51,0.14
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.03,0.0,0.03,-0.03
Alcoholic Beverages And Tobacco,1.37,1.38,1.39,0.0,0.01
Clothing And Footwear,3.43,2.12,2.16,-1.31,0.04
"Housing, Water, Electricity, Gas And Other Fuels",14.52,17.34,19.6,2.82,2.26
Furnishings And Routine Household Maintenance,2.21,2.12,2.76,-0.09,0.64
Health,3.04,5.72,2.46,2.69,-3.26
Transport,4.85,4.64,5.3,-0.21,0.66
Information And Communication,1.13,2.39,1.91,1.26,-0.48
"Recreation, Sport And Culture",0.86,0.72,0.9,-0.14,0.18
Education,3.81,1.57,3.64,-2.24,2.07
Hotels (accommodation Services),0.37,0.03,0.05,-0.34,0.02
Insurance And Financial Services,0.0,3.25,2.29,3.25,-0.96
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.05,5.14,3.62,-0.91,-1.52
Durable Furniture And Equipment,5.11,2.06,2.45,-3.05,0.39
Special Family Occasion,5.37,4.43,4.47,-0.94,0.04
Other Expenditures,1.93,1.79,1.79,-0.14,0.0
BARMM - Bangsamoro Autonomous Region In Muslim Mindanao (includes The 63 Barangays From Cotabato For 2023),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,59.86,58.59,57.52,-1.27,-1.07
Food Consumed At Home,54.04,54.6,54.34,0.56,-0.26
Food Regularly Consumed Outside The Home,5.82,3.98,3.17,-1.84,-0.81
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.56,1.66,1.17,0.1,-0.49
Clothing And Footwear,2.51,2.31,2.95,-0.21,0.64
"Housing, Water, Electricity, Gas And Other Fuels",14.62,14.91,14.63,0.29,-0.28
Furnishings And Routine Household Maintenance,1.31,1.24,2.24,-0.07,1.0
Health,1.1,1.75,1.39,0.65,-0.36
Transport,4.62,5.34,5.01,0.72,-0.33
Information And Communication,1.21,1.92,1.69,0.71,-0.24
"Recreation, Sport And Culture",0.41,0.22,0.66,-0.19,0.44
Education,2.11,0.64,2.06,-1.47,1.42
Hotels (accommodation Services),0.03,0.02,0.04,0.0,0.02
Insurance And Financial Services,0.0,1.15,0.75,1.15,-0.4
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.05,5.13,4.66,-0.92,-0.47
Durable Furniture And Equipment,1.34,2.15,1.55,0.81,-0.6
Special Family Occasion,1.86,1.39,2.29,-0.48,0.9
Other Expenditures,1.42,1.58,1.4,0.16,-0.19
Basilan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,58.49,52.16,55.13,-6.33,2.97
Food Consumed At Home,53.61,51.67,53.77,-1.93,2.1
Food Regularly Consumed Outside The Home,4.89,0.48,1.36,-4.41,0.88
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.66,1.67,1.35,0.01,-0.32
Clothing And Footwear,2.83,3.2,2.91,0.37,-0.3
"Housing, Water, Electricity, Gas And Other Fuels",11.0,16.69,14.59,5.69,-2.1
Furnishings And Routine Household Maintenance,1.26,1.56,2.07,0.3,0.5
Health,1.36,2.69,1.05,1.32,-1.64
Transport,5.32,5.99,5.65,0.67,-0.33
Information And Communication,1.34,1.81,1.61,0.46,-0.2
"Recreation, Sport And Culture",0.4,0.21,0.86,-0.19,0.65
Education,1.57,0.99,3.47,-0.58,2.48
Hotels (accommodation Services),0.06,0.02,0.0,-0.04,-0.02
Insurance And Financial Services,0.0,0.79,0.77,0.79,-0.02
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.75,4.93,5.27,-1.82,0.34
Durable Furniture And Equipment,3.17,3.12,2.96,-0.05,-0.16
Special Family Occasion,3.66,1.76,1.57,-1.9,-0.19
Other Expenditures,1.11,2.41,0.74,1.3,-1.66
Lanao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,59.45,68.74,62.5,9.29,-6.24
Food Consumed At Home,53.58,60.9,58.69,7.32,-2.22
Food Regularly Consumed Outside The Home,5.87,7.83,3.8,1.96,-4.03
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.36,0.89,1.05,-0.47,0.16
Clothing And Footwear,2.48,1.51,2.19,-0.97,0.68
"Housing, Water, Electricity, Gas And Other Fuels",15.29,11.57,13.18,-3.72,1.61
Furnishings And Routine Household Maintenance,1.78,1.06,1.54,-0.72,0.48
Health,1.39,1.78,1.39,0.4,-0.39
Transport,4.78,3.86,4.05,-0.92,0.19
Information And Communication,0.96,1.14,1.19,0.18,0.05
"Recreation, Sport And Culture",0.44,0.18,0.53,-0.26,0.34
Education,1.79,0.51,2.53,-1.28,2.02
Hotels (accommodation Services),0.01,0.01,0.07,0.0,0.06
Insurance And Financial Services,0.0,1.51,1.19,1.51,-0.32
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.41,3.71,4.02,-2.7,0.31
Durable Furniture And Equipment,1.12,0.88,1.06,-0.24,0.19
Special Family Occasion,0.79,0.69,1.36,-0.09,0.67
Other Expenditures,1.94,1.93,2.14,-0.01,0.21
Maguindanao,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,59.27,51.95,55.19,-7.32,3.24
Food Consumed At Home,50.86,49.43,50.98,-1.43,1.54
Food Regularly Consumed Outside The Home,8.41,2.51,4.21,-5.9,1.7
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,2.12,2.25,1.22,0.13,-1.02
Clothing And Footwear,2.55,2.81,3.04,0.26,0.23
"Housing, Water, Electricity, Gas And Other Fuels",14.57,16.88,14.28,2.31,-2.6
Furnishings And Routine Household Maintenance,1.2,1.44,2.72,0.24,1.27
Health,1.11,1.15,1.39,0.04,0.24
Transport,4.81,6.42,5.47,1.62,-0.96
Information And Communication,1.31,2.5,2.19,1.2,-0.31
"Recreation, Sport And Culture",0.46,0.26,0.87,-0.2,0.61
Education,1.47,0.7,1.94,-0.78,1.24
Hotels (accommodation Services),0.04,0.0,0.02,-0.04,0.01
Insurance And Financial Services,0.0,0.67,0.54,0.67,-0.13
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.64,6.5,4.84,0.86,-1.67
Durable Furniture And Equipment,1.46,3.0,1.56,1.54,-1.44
Special Family Occasion,2.67,2.0,3.56,-0.67,1.57
Other Expenditures,1.3,1.45,1.16,0.15,-0.29
Maguindanao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,0.0,0.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,0.0,0.0,56.65,0.0,0.0
Food Consumed At Home,0.0,0.0,51.84,0.0,0.0
Food Regularly Consumed Outside The Home,0.0,0.0,4.8,0.0,0.0
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.0
Alcoholic Beverages And Tobacco,0.0,0.0,1.19,0.0,0.0
Clothing And Footwear,0.0,0.0,2.89,0.0,0.0
"Housing, Water, Electricity, Gas And Other Fuels",0.0,0.0,12.9,0.0,0.0
Furnishings And Routine Household Maintenance,0.0,0.0,2.75,0.0,0.0
Health,0.0,0.0,1.3,0.0,0.0
Transport,0.0,0.0,5.62,0.0,0.0
Information And Communication,0.0,0.0,2.28,0.0,0.0
"Recreation, Sport And Culture",0.0,0.0,0.91,0.0,0.0
Education,0.0,0.0,1.9,0.0,0.0
Hotels (accommodation Services),0.0,0.0,0.02,0.0,0.0
Insurance And Financial Services,0.0,0.0,0.3,0.0,0.0
"Personal Care, Social Protection And Miscellaneous Goods And Services",0.0,0.0,4.69,0.0,0.0
Durable Furniture And Equipment,0.0,0.0,1.3,0.0,0.0
Special Family Occasion,0.0,0.0,4.05,0.0,0.0
Other Expenditures,0.0,0.0,1.23,0.0,0.0
Maguindanao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,0.0,0.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,0.0,0.0,53.64,0.0,0.0
Food Consumed At Home,0.0,0.0,50.05,0.0,0.0
Food Regularly Consumed Outside The Home,0.0,0.0,3.59,0.0,0.0
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,0.0,0.0,1.26,0.0,0.0
Clothing And Footwear,0.0,0.0,3.2,0.0,0.0
"Housing, Water, Electricity, Gas And Other Fuels",0.0,0.0,15.75,0.0,0.0
Furnishings And Routine Household Maintenance,0.0,0.0,2.68,0.0,0.0
Health,0.0,0.0,1.48,0.0,0.0
Transport,0.0,0.0,5.3,0.0,0.0
Information And Communication,0.0,0.0,2.11,0.0,0.0
"Recreation, Sport And Culture",0.0,0.0,0.83,0.0,0.0
Education,0.0,0.0,1.97,0.0,0.0
Hotels (accommodation Services),0.0,0.0,0.01,0.0,0.0
Insurance And Financial Services,0.0,0.0,0.78,0.0,0.0
"Personal Care, Social Protection And Miscellaneous Goods And Services",0.0,0.0,4.99,0.0,0.0
Durable Furniture And Equipment,0.0,0.0,1.84,0.0,0.0
Special Family Occasion,0.0,0.0,3.04,0.0,0.0
Other Expenditures,0.0,0.0,1.09,0.0,0.0
Sulu,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,66.02,59.84,64.72,-6.17,4.87
Food Consumed At Home,65.34,58.34,63.22,-7.0,4.88
Food Regularly Consumed Outside The Home,0.67,1.5,1.49,0.83,-0.01
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,1.27,2.06,0.76,0.79,-1.3
Clothing And Footwear,2.34,2.53,3.33,0.19,0.8
"Housing, Water, Electricity, Gas And Other Fuels",11.89,13.57,10.32,1.68,-3.25
Furnishings And Routine Household Maintenance,0.91,0.98,2.58,0.07,1.61
Health,0.59,2.56,1.41,1.97,-1.15
Transport,3.1,5.53,3.84,2.43,-1.69
Information And Communication,0.99,1.53,1.26,0.53,-0.27
"Recreation, Sport And Culture",0.27,0.12,0.36,-0.15,0.24
Education,4.62,0.33,0.66,-4.29,0.32
Hotels (accommodation Services),0.01,0.01,0.01,0.0,0.0
Insurance And Financial Services,0.0,0.83,0.25,0.83,-0.58
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.37,5.57,5.56,0.19,0.0
Durable Furniture And Equipment,0.35,2.56,1.21,2.21,-1.35
Special Family Occasion,0.89,1.0,2.45,0.11,1.44
Other Expenditures,1.36,0.98,1.29,-0.38,0.31
Tawi-tawi,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,61.04,57.8,46.28,-3.24,-11.52
Food Consumed At Home,59.64,56.98,46.1,-2.65,-10.88
Food Regularly Consumed Outside The Home,1.4,0.82,0.17,-0.59,-0.65
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.0
Alcoholic Beverages And Tobacco,1.23,3.0,2.42,1.77,-0.58
Clothing And Footwear,3.07,2.63,3.68,-0.44,1.05
"Housing, Water, Electricity, Gas And Other Fuels",15.37,14.86,26.56,-0.52,11.7
